                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.999,                 5.2224,                 1.5709,                0.25028,                0.50521,                0.24449,                0.15059,                 1.2688,                 2.2968,                 1.1781,               0.070698,              0.0032558,              0.0032558
                      1,                 1.2827,                 1.9972,                 1.0981,                0.58031,                0.52857,                0.52149,                0.32205,                 1.2772,                 1.8825,                 1.1944,               0.040676,              0.0065674,              0.0065674
                      2,                 1.2884,                 1.8318,                 1.1061,                0.58389,                0.73395,                0.71409,                0.43387,                 1.2968,                 1.4178,                 1.1846,               0.010632,               0.009857,               0.009857
                      3,                  1.287,                 1.5918,                 1.1032,                 0.6979,                0.73608,                0.85566,                0.52107,                 1.2279,                  1.627,                 1.1495,               0.009901,               0.009901,               0.009901
                      4,                 1.2801,                 1.2428,                 1.1028,                0.87557,                0.81114,                 0.9141,                0.55795,                  1.242,                 1.1975,                 1.1806,               0.009901,               0.009901,               0.009901
                      5,                 1.2366,                 1.0562,                  1.091,                0.87731,                0.83827,                0.92386,                0.53438,                 1.2829,                0.95894,                 1.2461,               0.009868,               0.009868,               0.009868
                      6,                 1.2429,                0.97571,                 1.0944,                0.90417,                0.91872,                0.96625,                0.61345,                 1.2128,                0.86329,                 1.1751,               0.009835,               0.009835,               0.009835
                      7,                 1.2069,                0.92022,                 1.0928,                0.90761,                0.90586,                0.95517,                0.61218,                  1.234,                0.79421,                 1.1734,               0.009802,               0.009802,               0.009802
                      8,                  1.195,                0.87546,                 1.0653,                0.89659,                0.94004,                0.95371,                0.63932,                  1.151,                0.75754,                 1.1433,               0.009769,               0.009769,               0.009769
                      9,                 1.1747,                 0.8471,                 1.0774,                0.87006,                0.90681,                0.96507,                0.63235,                 1.1675,                0.81545,                 1.1644,               0.009736,               0.009736,               0.009736
                     10,                 1.2044,                0.81057,                 1.0764,                 0.9502,                0.93872,                0.97639,                0.65912,                   1.11,                0.72409,                 1.1446,               0.009703,               0.009703,               0.009703
                     11,                 1.1563,                0.80961,                 1.0585,                0.94082,                0.92459,                 0.9676,                0.59932,                 1.1998,                0.75984,                 1.1694,                0.00967,                0.00967,                0.00967
                     12,                 1.1602,                0.77114,                 1.0614,                0.94852,                0.92878,                0.98144,                0.65466,                 1.1218,                0.70921,                 1.1264,               0.009637,               0.009637,               0.009637
