                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9749,                 5.1979,                 1.5471,                0.32751,                0.46818,                0.28944,                0.16968,                 1.3144,                 2.1922,                 1.2283,               0.070698,              0.0032558,              0.0032558
                      1,                  1.231,                 1.9803,                  1.083,                0.47351,                0.62866,                0.54763,                0.34522,                  1.184,                 1.6504,                 1.1602,               0.040676,              0.0065674,              0.0065674
                      2,                 1.2784,                 1.8015,                 1.1097,                0.62107,                0.69901,                0.72426,                0.44747,                 1.2465,                 1.4378,                 1.2152,               0.010632,               0.009857,               0.009857
                      3,                 1.3259,                 1.4913,                 1.1359,                0.63529,                0.78963,                0.81276,                0.50225,                 1.2013,                 1.3057,                 1.1384,               0.009901,               0.009901,               0.009901
                      4,                 1.2383,                 1.2637,                 1.1114,                0.83979,                0.80786,                0.89149,                0.58958,                 1.1488,                  1.039,                  1.155,               0.009901,               0.009901,               0.009901
                      5,                 1.2371,                 1.0445,                 1.1065,                0.90594,                0.87673,                 0.9434,                0.53416,                 1.3132,                0.92941,                  1.234,               0.009868,               0.009868,               0.009868
                      6,                 1.2287,                 0.9556,                 1.1037,                0.83665,                0.89377,                0.95123,                0.62894,                 1.1266,                0.88363,                 1.1275,               0.009835,               0.009835,               0.009835
                      7,                 1.2271,                0.90104,                 1.1018,                0.89177,                0.89978,                0.93601,                 0.5964,                 1.1551,                0.78956,                  1.149,               0.009802,               0.009802,               0.009802
                      8,                 1.2097,                 0.8365,                 1.0786,                0.88044,                0.86283,                 0.9281,                0.61031,                 1.1442,                0.83551,                 1.1429,               0.009769,               0.009769,               0.009769
                      9,                 1.1896,                0.82516,                 1.0871,                0.90879,                 0.9171,                0.95948,                0.63685,                 1.1678,                0.75277,                  1.169,               0.009736,               0.009736,               0.009736
                     10,                 1.1886,                0.80199,                  1.077,                0.92326,                 0.9385,                 0.9682,                0.66367,                 1.0937,                0.65789,                 1.1367,               0.009703,               0.009703,               0.009703
                     11,                  1.169,                0.79808,                 1.0812,                0.90198,                0.91797,                0.95273,                0.56867,                 1.2843,                0.77317,                  1.202,                0.00967,                0.00967,                0.00967
                     12,                  1.184,                0.76003,                 1.0764,                0.93345,                0.93567,                0.97743,                  0.632,                 1.1413,                0.69874,                 1.1487,               0.009637,               0.009637,               0.009637
                     13,                 1.1269,                0.75844,                 1.0687,                0.95563,                0.94011,                 0.9833,                0.65812,                 1.1332,                0.69192,                 1.1432,               0.009604,               0.009604,               0.009604
                     14,                 1.1354,                0.74485,                 1.0812,                0.93752,                0.91369,                0.96883,                0.66423,                 1.0865,                0.68026,                 1.1242,               0.009571,               0.009571,               0.009571
                     15,                 1.1372,                0.74988,                 1.0665,                0.96646,                 0.9553,                0.98578,                0.65175,                   1.15,                0.62708,                 1.1416,               0.009538,               0.009538,               0.009538
                     16,                 1.1422,                0.73614,                 1.0737,                0.96407,                0.93475,                0.98498,                0.66302,                 1.1296,                0.60591,                 1.1551,               0.009505,               0.009505,               0.009505
                     17,                 1.1155,                0.68907,                 1.0725,                0.95109,                0.94286,                0.98391,                0.67426,                 1.1056,                0.59485,                 1.1432,               0.009472,               0.009472,               0.009472
                     18,                 1.1167,                0.70835,                 1.0648,                0.92914,                0.85074,                0.93268,                0.63565,                 1.0932,                0.72505,                 1.1354,               0.009439,               0.009439,               0.009439
                     19,                 1.1147,                0.68877,                 1.0572,                0.92892,                0.93694,                0.97292,                0.65265,                 1.0999,                0.63435,                 1.1527,               0.009406,               0.009406,               0.009406
                     20,                  1.125,                0.68464,                 1.0777,                0.95137,                0.89947,                0.97114,                0.64093,                  1.154,                0.64228,                 1.1621,               0.009373,               0.009373,               0.009373
                     21,                 1.1117,                0.65564,                 1.0601,                0.96277,                0.94835,                0.98475,                0.67557,                 1.1045,                0.56492,                 1.1574,                0.00934,                0.00934,                0.00934
                     22,                 1.1022,                0.66087,                 1.0586,                0.97147,                0.93257,                 0.9815,                0.65845,                  1.171,                0.55558,                 1.1704,               0.009307,               0.009307,               0.009307
                     23,                 1.0814,                0.62807,                 1.0523,                0.95035,                 0.9486,                 0.9816,                0.68052,                 1.1447,                0.55069,                 1.1455,               0.009274,               0.009274,               0.009274
                     24,                 1.0957,                0.64831,                 1.0409,                0.94096,                0.95606,                 0.9793,                0.66154,                 1.0818,                0.55175,                 1.1289,               0.009241,               0.009241,               0.009241
                     25,                 1.0644,                0.63686,                  1.052,                0.98003,                0.94999,                0.98712,                0.65946,                 1.1332,                0.54491,                 1.1419,               0.009208,               0.009208,               0.009208
                     26,                 1.0802,                0.63932,                  1.061,                0.97842,                0.93371,                0.98348,                0.67265,                 1.0632,                0.54155,                 1.1197,               0.009175,               0.009175,               0.009175
                     27,                 1.0994,                0.62995,                 1.0423,                0.96821,                0.97503,                0.98951,                0.68871,                 1.0814,                0.53458,                 1.1122,               0.009142,               0.009142,               0.009142
                     28,                 1.0894,                0.62192,                 1.0496,                0.96506,                0.94131,                0.98345,                0.66229,                 1.0979,                0.53658,                  1.141,               0.009109,               0.009109,               0.009109
                     29,                 1.0464,                0.60184,                 1.0206,                0.96279,                0.93717,                0.98109,                0.64648,                  1.164,                0.62816,                 1.1562,               0.009076,               0.009076,               0.009076
                     30,                  1.074,                0.61257,                 1.0514,                0.96987,                0.92262,                0.97716,                0.65187,                 1.1325,                0.56288,                 1.1647,               0.009043,               0.009043,               0.009043
                     31,                 1.0762,                0.62301,                 1.0489,                0.95472,                 0.9665,                0.98713,                0.68988,                 1.0637,                0.51459,                 1.1196,                0.00901,                0.00901,                0.00901
                     32,                 1.0724,                0.60037,                  1.056,                0.95428,                0.94287,                0.98173,                0.68766,                 1.0851,                0.53269,                 1.1203,               0.008977,               0.008977,               0.008977
                     33,                 1.0668,                0.60914,                  1.063,                0.95061,                0.94494,                0.98552,                0.67649,                 1.0951,                0.55917,                 1.1258,               0.008944,               0.008944,               0.008944
                     34,                 1.0737,                0.62101,                 1.0398,                0.95038,                0.96225,                0.98903,                0.66478,                 1.1269,                0.55034,                 1.1418,               0.008911,               0.008911,               0.008911
                     35,                 1.0701,                0.61209,                 1.0452,                0.97527,                0.96847,                0.98625,                0.70239,                 1.0711,                0.51053,                 1.1167,               0.008878,               0.008878,               0.008878
                     36,                 1.0255,                0.59097,                 1.0272,                0.96099,                0.98416,                 0.9895,                0.69964,                 1.0547,                0.48012,                 1.1126,               0.008845,               0.008845,               0.008845
                     37,                 1.0426,                0.57467,                 1.0316,                0.95522,                 0.9763,                0.97856,                0.68148,                 1.0934,                0.52654,                 1.1195,               0.008812,               0.008812,               0.008812
                     38,                  1.049,                0.59038,                 1.0428,                0.97207,                 0.9708,                0.98605,                0.68874,                 1.0501,                0.53238,                 1.1148,               0.008779,               0.008779,               0.008779
                     39,                 1.0436,                0.59149,                  1.047,                0.97569,                0.95834,                0.99064,                0.70457,                 1.0738,                 0.4713,                 1.1133,               0.008746,               0.008746,               0.008746
                     40,                 1.0474,                0.56841,                 1.0422,                0.94247,                0.96737,                0.98746,                0.69874,                 1.0751,                 0.5235,                 1.1186,               0.008713,               0.008713,               0.008713
                     41,                 1.0454,                0.56484,                 1.0377,                0.94777,                0.94543,                0.97779,                 0.6969,                 1.0416,                0.53547,                 1.1043,                0.00868,                0.00868,                0.00868
                     42,                 1.0173,                0.55739,                 1.0154,                 0.9745,                0.93975,                0.98561,                 0.7028,                 1.0674,                0.51964,                 1.1011,               0.008647,               0.008647,               0.008647
                     43,                 1.0134,                0.57873,                 1.0197,                0.96385,                0.97699,                0.98857,                 0.7001,                 1.0532,                0.49176,                 1.1175,               0.008614,               0.008614,               0.008614
                     44,                 1.0309,                0.56509,                 1.0298,                0.96504,                0.96282,                0.98364,                0.66836,                 1.0999,                0.50473,                 1.1268,               0.008581,               0.008581,               0.008581
                     45,                 1.0176,                0.55983,                 1.0269,                0.98201,                0.96596,                0.98907,                0.69707,                 1.0911,                 0.4865,                 1.1107,               0.008548,               0.008548,               0.008548
                     46,                 1.0145,                0.55535,                 1.0311,                0.94321,                0.96053,                0.98561,                0.69508,                 1.0918,                0.50605,                 1.1223,               0.008515,               0.008515,               0.008515
