                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1041,                 5.4689,                 1.6242,                0.19473,                0.46636,                0.18909,                0.10991,                 1.3116,                 2.5154,                 1.1861,               0.070698,              0.0032558,              0.0032558
                      1,                  1.272,                 2.0273,                 1.0844,                0.37554,                0.53076,                0.45065,                0.29583,                 1.1704,                 2.1702,                 1.0924,               0.040676,              0.0065674,              0.0065674
                      2,                 1.2802,                 1.9536,                 1.0468,                0.54067,                0.61145,                0.63416,                 0.3734,                 1.2882,                 2.6829,                 1.0993,               0.010632,               0.009857,               0.009857
                      3,                 1.2742,                 1.6582,                 1.0701,                0.79794,                0.73406,                0.84806,                0.53216,                 1.2437,                  1.334,                 1.1093,               0.009901,               0.009901,               0.009901
                      4,                  1.228,                 1.2065,                 1.0568,                 0.7701,                0.79714,                0.86067,                0.51883,                 1.2419,                 1.2207,                 1.1273,               0.009901,               0.009901,               0.009901
                      5,                 1.2639,                 1.0586,                 1.0657,                0.82555,                0.76025,                0.86213,                 0.5446,                 1.2121,                 1.2531,                 1.1687,               0.009868,               0.009868,               0.009868
                      6,                 1.2497,                0.96324,                 1.0793,                0.83171,                0.84638,                0.90745,                0.58032,                 1.1562,                0.89156,                  1.121,               0.009835,               0.009835,               0.009835
                      7,                 1.2037,                0.92504,                 1.0573,                0.86796,                0.82159,                0.92425,                0.57037,                 1.2301,                0.90378,                 1.1443,               0.009802,               0.009802,               0.009802
                      8,                 1.1843,                0.90067,                 1.0534,                0.91701,                0.82832,                0.92973,                0.61472,                 1.1463,                0.83547,                  1.155,               0.009769,               0.009769,               0.009769
                      9,                 1.1707,                0.87017,                 1.0602,                0.84753,                0.77613,                0.89313,                0.54054,                 1.2511,                0.96445,                 1.2052,               0.009736,               0.009736,               0.009736
                     10,                 1.1747,                0.82617,                 1.0433,                0.91982,                0.90685,                0.95974,                0.63988,                 1.1208,                0.71404,                 1.1283,               0.009703,               0.009703,               0.009703
                     11,                 1.1936,                0.81917,                 1.0545,                0.94786,                0.91374,                0.96133,                0.65586,                 1.1088,                0.70814,                 1.0955,                0.00967,                0.00967,                0.00967
                     12,                 1.1525,                0.79292,                 1.0427,                0.90051,                0.88624,                 0.9476,                0.62593,                 1.1297,                 0.7759,                   1.12,               0.009637,               0.009637,               0.009637
                     13,                 1.1499,                0.77462,                 1.0524,                0.91472,                0.92146,                0.96605,                 0.6412,                 1.1285,                0.69415,                  1.118,               0.009604,               0.009604,               0.009604
