epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,1.9733,3.4536,1.6703,0.15665,0.02437,0.00699,0.00369,1.7512,3.3679,1.5657,0.0964,0.0004,0.0004
1,1.9327,2.7277,1.6629,0.59135,0.02971,0.01463,0.00793,1.6454,2.972,1.5424,0.091897,0.00089703,0.00089703
2,1.7835,2.1823,1.557,0.89828,0.05207,0.03032,0.01789,1.5899,2.9267,1.4562,0.087391,0.0013908,0.0013908
3,1.5787,1.856,1.3683,0.91148,0.05429,0.04178,0.02611,1.5068,2.6267,1.4006,0.082881,0.0018812,0.0018812
4,1.556,1.7381,1.3362,0.91934,0.05374,0.05252,0.03283,1.4989,1.8726,1.3757,0.078368,0.0023683,0.0023683
5,1.5446,1.7661,1.3261,0.92451,0.05073,0.05495,0.03332,1.56,1.8807,1.3994,0.073852,0.0028522,0.0028522
6,1.4735,1.5396,1.305,0.38835,0.09321,0.08136,0.04649,1.4178,1.6389,1.333,0.069333,0.0033327,0.0033327
7,1.5028,1.5382,1.3256,0.39254,0.14163,0.10197,0.05447,1.4183,1.9385,1.3356,0.06481,0.0038099,0.0038099
8,1.4677,1.5774,1.2712,0.39911,0.2373,0.11786,0.06693,1.3658,1.7113,1.2964,0.060284,0.0042838,0.0042838
9,1.3954,1.4892,1.2866,0.44973,0.27097,0.1679,0.10264,1.3155,2.2666,1.2533,0.055754,0.0047545,0.0047545
10,1.3819,1.5378,1.281,0.52266,0.28168,0.21255,0.13463,1.3193,2.1583,1.2286,0.051222,0.0052218,0.0052218
11,1.336,1.6007,1.2108,0.35417,0.28128,0.20703,0.13053,1.2538,1.9215,1.2136,0.046686,0.0056858,0.0056858
12,1.3989,1.2964,1.2142,0.3632,0.34735,0.28029,0.17066,1.4633,1.4262,1.2571,0.042147,0.0061466,0.0061466
13,1.4331,1.3689,1.2676,0.37607,0.38684,0.27951,0.17806,1.4198,1.8959,1.2542,0.037604,0.006604,0.006604
14,1.369,1.5132,1.2561,0.46603,0.40487,0.31529,0.19213,1.3863,1.6631,1.226,0.033058,0.0070581,0.0070581
15,1.3659,1.2838,1.2277,0.50172,0.40878,0.31898,0.19808,1.3151,1.4611,1.2424,0.028509,0.0075089,0.0075089
16,1.395,1.3896,1.2369,0.47239,0.4064,0.35149,0.22213,1.2447,1.9472,1.2112,0.023956,0.0079565,0.0079565
17,1.3534,1.5469,1.203,0.56934,0.38644,0.36684,0.22174,1.3,1.5038,1.1869,0.019401,0.0084007,0.0084007
18,1.3952,1.3839,1.1976,0.50836,0.41385,0.36231,0.21854,1.315,1.4215,1.1821,0.014842,0.0088416,0.0088416
19,1.5251,1.8519,1.2437,0.4979,0.40884,0.41773,0.23538,1.3253,1.3339,1.2309,0.010279,0.0092793,0.0092793
20,1.3774,1.4454,1.2795,0.54948,0.41582,0.40188,0.22729,1.3548,1.5024,1.2533,0.00934,0.00934,0.00934
21,1.3178,1.282,1.1959,0.50239,0.41582,0.40003,0.22956,1.3135,1.8218,1.2667,0.00934,0.00934,0.00934
22,1.3095,1.5154,1.1838,0.51051,0.35057,0.34442,0.20574,1.3398,1.5569,1.2713,0.009307,0.009307,0.009307
23,1.2858,1.3563,1.1671,0.44521,0.38805,0.29709,0.16191,1.4806,2.1191,1.3531,0.009274,0.009274,0.009274
24,1.3121,1.1799,1.1847,0.47463,0.28271,0.21136,0.11322,1.3421,1.9179,1.2807,0.009241,0.009241,0.009241
25,1.3182,1.2339,1.2005,0.38082,0.38152,0.25719,0.11122,1.5126,2.5117,1.3534,0.009208,0.009208,0.009208
26,1.2944,1.2337,1.1846,0.41605,0.30735,0.23864,0.10822,1.4182,1.5847,1.3302,0.009175,0.009175,0.009175
27,1.2502,1.1532,1.211,0.66071,0.27952,0.32522,0.19009,1.359,1.6519,1.2737,0.009142,0.009142,0.009142
28,1.3476,1.1888,1.2001,0.50003,0.2339,0.27065,0.13101,1.3387,1.7086,1.2419,0.009109,0.009109,0.009109
29,1.2529,1.2536,1.221,0.44688,0.31021,0.27184,0.1499,1.2917,1.6233,1.2211,0.009076,0.009076,0.009076
30,1.2904,1.152,1.1476,0.52021,0.32984,0.31026,0.17604,1.2878,1.6246,1.2111,0.009043,0.009043,0.009043
31,1.2182,1.115,1.1377,0.5972,0.3221,0.36971,0.182,1.2785,1.98,1.2259,0.00901,0.00901,0.00901
32,1.2633,1.2802,1.2101,0.59585,0.28532,0.32218,0.15685,1.3969,1.5953,1.2825,0.008977,0.008977,0.008977
33,1.2499,1.1358,1.1638,0.65447,0.41624,0.36362,0.18582,1.3127,1.5851,1.2663,0.008944,0.008944,0.008944
34,1.2113,1.0425,1.1544,0.55864,0.36636,0.39661,0.20736,1.2796,1.5677,1.259,0.008911,0.008911,0.008911
35,1.2817,1.1396,1.1349,0.69432,0.3746,0.4299,0.23159,1.2978,1.6136,1.2351,0.008878,0.008878,0.008878
36,1.2397,1.2235,1.1662,0.67735,0.39681,0.44785,0.25796,1.2589,1.307,1.201,0.008845,0.008845,0.008845
37,1.2327,1.0712,1.1547,0.68195,0.45009,0.46664,0.26882,1.2575,1.4745,1.2188,0.008812,0.008812,0.008812
38,1.2165,1.0506,1.1486,0.82669,0.42089,0.50143,0.30122,1.2544,1.4583,1.2087,0.008779,0.008779,0.008779
39,1.26,1.0837,1.1845,0.82009,0.43136,0.5002,0.30393,1.2312,1.307,1.2045,0.008746,0.008746,0.008746
40,1.2199,1.0113,1.1272,0.69802,0.39076,0.45763,0.24096,1.3651,1.5985,1.2293,0.008713,0.008713,0.008713
41,1.2178,1.0966,1.1345,0.64173,0.46127,0.4697,0.26178,1.268,1.476,1.1956,0.00868,0.00868,0.00868
42,1.239,0.99847,1.1223,0.6387,0.402,0.44565,0.22532,1.3578,1.4876,1.2152,0.008647,0.008647,0.008647
43,1.229,0.95826,1.1417,0.67808,0.47686,0.49467,0.26813,1.298,1.5165,1.2062,0.008614,0.008614,0.008614
44,1.2601,0.99737,1.1583,0.68763,0.47004,0.50491,0.29793,1.2325,1.212,1.1778,0.008581,0.008581,0.008581
45,1.2096,0.94487,1.1276,0.67185,0.35551,0.4351,0.23345,1.2124,1.3377,1.1671,0.008548,0.008548,0.008548
46,1.1786,0.92308,1.1313,0.6965,0.41839,0.44046,0.2508,1.2183,1.3056,1.1992,0.008515,0.008515,0.008515
47,1.2529,1.0361,1.1386,0.56546,0.43728,0.3819,0.20374,1.2514,1.6574,1.2253,0.008482,0.008482,0.008482
48,1.1324,1.0309,1.1251,0.74606,0.47318,0.51071,0.28362,1.2,1.1495,1.1771,0.008449,0.008449,0.008449
49,1.1453,0.93032,1.111,0.60692,0.48544,0.48263,0.28913,1.195,1.2417,1.1705,0.008416,0.008416,0.008416
50,1.1412,0.95901,1.1167,0.669,0.46674,0.48933,0.2933,1.1934,1.1665,1.1668,0.008383,0.008383,0.008383
51,1.1925,0.99254,1.0761,0.69426,0.40758,0.48027,0.28608,1.2194,1.1679,1.1613,0.00835,0.00835,0.00835
52,1.1697,0.94738,1.0877,0.69679,0.49762,0.49247,0.2761,1.2702,1.2374,1.1695,0.008317,0.008317,0.008317
53,1.1682,0.93826,1.1027,0.76183,0.50229,0.52918,0.29979,1.1745,1.1772,1.1515,0.008284,0.008284,0.008284
54,1.184,0.91408,1.0971,0.67518,0.52668,0.51689,0.29603,1.2094,1.2704,1.1627,0.008251,0.008251,0.008251
